kode_bps,kode_dagri,nama_bps,nama_dagri
1607,16.07,BANYU ASIN,KAB. BANYUASIN
1608,16.09,OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU SELATAN
1609,16.08,OGAN KOMERING ULU TIMUR,KAB. OGAN KOMERING ULU TIMUR
1610,16.1,OGAN ILIR,KAB. OGAN ILIR
1611,16.11,EMPAT LAWANG,KAB. EMPAT LAWANG
1612,16.12,PENUKAL ABAB LEMATANG ILIR,KAB. PENUKAL ABAB LEMATANG ILIR
1613,16.13,MUSI RAWAS UTARA,KAB. MUSI RAWAS UTARA
1671,16.71,PALEMBANG,KOTA PALEMBANG
1672,16.74,PRABUMULIH,KOTA PRABUMULIH
1673,16.72,PAGAR ALAM,KOTA PAGAR ALAM
1674,16.73,LUBUKLINGGAU,KOTA LUBUK LINGGAU
1701,17.01,BENGKULU SELATAN,KAB. BENGKULU SELATAN
1702,17.02,REJANG LEBONG,KAB. REJANG LEBONG
1703,17.03,BENGKULU UTARA,KAB. BENGKULU UTARA
1704,17.04,KAUR,KAB. KAUR
1705,17.05,SELUMA,KAB. SELUMA
1706,17.06,MUKOMUKO,KAB. MUKO MUKO
1707,17.07,LEBONG,KAB. LEBONG
1708,17.08,KEPAHIANG,KAB. KEPAHIANG
1709,17.09,BENGKULU TENGAH,KAB. BENGKULU TENGAH
1771,17.71,BENGKULU,KOTA BENGKULU
1801,18.04,LAMPUNG BARAT,KAB. LAMPUNG BARAT
1802,18.06,TANGGAMUS,KAB. TANGGAMUS
1803,18.01,LAMPUNG SELATAN,KAB. LAMPUNG SELATAN
1804,18.07,LAMPUNG TIMUR,KAB. LAMPUNG TIMUR
1805,18.02,LAMPUNG TENGAH,KAB. LAMPUNG TENGAH
1806,18.03,LAMPUNG UTARA,KAB. LAMPUNG UTARA
1807,18.08,WAY KANAN,KAB. WAY KANAN
1808,18.05,TULANGBAWANG,KAB. TULANG BAWANG
1809,18.09,PESAWARAN,KAB. PESAWARAN
1810,18.1,PRINGSEWU,KAB. PRINGSEWU
1811,18.11,MESUJI,KAB. MESUJI
1812,18.12,TULANG BAWANG BARAT,KAB. TULANG BAWANG BARAT
1813,18.13,PESISIR BARAT,KAB. PESISIR BARAT
1871,18.71,BANDAR LAMPUNG,KOTA BANDAR LAMPUNG
1872,18.72,METRO,KOTA METRO
1901,19.01,BANGKA,KAB. BANGKA
1902,19.02,BELITUNG,KAB. BELITUNG
1903,19.05,BANGKA BARAT,KAB. BANGKA BARAT
1904,19.04,BANGKA TENGAH,KAB. BANGKA TENGAH
1905,19.03,BANGKA SELATAN,KAB. BANGKA SELATAN
1906,19.06,BELITUNG TIMUR,KAB. BELITUNG TIMUR
1971,19.71,PANGKAL PINANG,KOTA PANGKAL PINANG
2101,21.02,KARIMUN,KAB. KARIMUN
2102,21.01,BINTAN,KAB. BINTAN
2103,21.03,NATUNA,KAB. NATUNA
2104,21.04,LINGGA,KAB. LINGGA
2105,21.05,KEPULAUAN ANAMBAS,KAB. KEPULAUAN ANAMBAS
2171,21.71,B A T A M,KOTA BATAM
2172,21.72,TANJUNG PINANG,KOTA TANJUNG PINANG
3101,31.01,KEPULAUAN SERIBU,KAB. ADM. KEP. SERIBU
3171,31.74,JAKARTA SELATAN,KOTA ADM. JAKARTA SELATAN
3172,31.75,JAKARTA TIMUR,KOTA ADM. JAKARTA TIMUR
3173,31.71,JAKARTA PUSAT,KOTA ADM. JAKARTA PUSAT
3174,31.73,JAKARTA BARAT,KOTA ADM. JAKARTA BARAT
3175,31.72,JAKARTA UTARA,KOTA ADM. JAKARTA UTARA
3201,32.01,BOGOR,KAB. BOGOR
3202,32.02,SUKABUMI,KAB. SUKABUMI
3203,32.03,CIANJUR,KAB. CIANJUR
3204,32.04,BANDUNG,KAB. BANDUNG
3205,32.05,GARUT,KAB. GARUT
3206,32.06,TASIKMALAYA,KAB. TASIKMALAYA
3207,32.07,CIAMIS,KAB. CIAMIS
3208,32.08,KUNINGAN,KAB. KUNINGAN
3209,32.09,CIREBON,KAB. CIREBON
3210,32.1,MAJALENGKA,KAB. MAJALENGKA
3211,32.11,SUMEDANG,KAB. SUMEDANG
3212,32.12,INDRAMAYU,KAB. INDRAMAYU
3213,32.13,SUBANG,KAB. SUBANG
3214,32.14,PURWAKARTA,KAB. PURWAKARTA
3215,32.15,KARAWANG,KAB. KARAWANG
3216,32.16,BEKASI,KAB. BEKASI
3217,32.17,BANDUNG BARAT,KAB. BANDUNG BARAT
3218,32.18,PANGANDARAN,KAB. PANGANDARAN
3271,32.71,BOGOR,KOTA BOGOR
3272,32.72,SUKABUMI,KOTA SUKABUMI
3273,32.73,BANDUNG,KOTA BANDUNG
3274,32.74,CIREBON,KOTA CIREBON
3275,32.75,BEKASI,KOTA BEKASI
3276,32.76,DEPOK,KOTA DEPOK
3277,32.77,CIMAHI,KOTA CIMAHI
3278,32.78,TASIKMALAYA,KOTA TASIKMALAYA
3279,32.79,BANJAR,KOTA BANJAR
3301,33.01,CILACAP,KAB. CILACAP
3302,33.02,BANYUMAS,KAB. BANYUMAS
3303,33.03,PURBALINGGA,KAB. PURBALINGGA
3304,33.04,BANJARNEGARA,KAB. BANJARNEGARA
3305,33.05,KEBUMEN,KAB. KEBUMEN
3306,33.06,PURWOREJO,KAB. PURWOREJO
3307,33.07,WONOSOBO,KAB. WONOSOBO
3308,33.08,MAGELANG,KAB. MAGELANG
3309,33.09,BOYOLALI,KAB. BOYOLALI
3310,33.1,KLATEN,KAB. KLATEN
3311,33.11,SUKOHARJO,KAB. SUKOHARJO
3312,33.12,WONOGIRI,KAB. WONOGIRI
3313,33.13,KARANGANYAR,KAB. KARANGANYAR
3314,33.14,SRAGEN,KAB. SRAGEN
3315,33.15,GROBOGAN,KAB. GROBOGAN
3316,33.16,BLORA,KAB. BLORA
3317,33.17,REMBANG,KAB. REMBANG
3318,33.18,PATI,KAB. PATI
3319,33.19,KUDUS,KAB. KUDUS
3320,33.2,JEPARA,KAB. JEPARA
3321,33.21,DEMAK,KAB. DEMAK
3322,33.22,SEMARANG,KAB. SEMARANG
3323,33.23,TEMANGGUNG,KAB. TEMANGGUNG
3324,33.24,KENDAL,KAB. KENDAL
3325,33.25,BATANG,KAB. BATANG
3326,33.26,PEKALONGAN,KAB. PEKALONGAN
3327,33.27,PEMALANG,KAB. PEMALANG
3328,33.28,TEGAL,KAB. TEGAL
3329,33.29,BREBES,KAB. BREBES
3371,33.71,MAGELANG,KOTA MAGELANG
3372,33.72,SURAKARTA,KOTA SURAKARTA
3373,33.73,SALATIGA,KOTA SALATIGA
3374,33.74,SEMARANG,KOTA SEMARANG
3375,33.75,PEKALONGAN,KOTA PEKALONGAN
3376,33.76,TEGAL,KOTA TEGAL
3401,34.01,KULON PROGO,KAB. KULON PROGO
3402,34.02,BANTUL,KAB. BANTUL
3403,34.03,GUNUNG KIDUL,KAB. GUNUNGKIDUL
3404,34.04,SLEMAN,KAB. SLEMAN
3471,34.71,YOGYAKARTA,KOTA YOGYAKARTA
3501,35.01,PACITAN,KAB. PACITAN
3502,35.02,PONOROGO,KAB. PONOROGO
3503,35.03,TRENGGALEK,KAB. TRENGGALEK
3504,35.04,TULUNGAGUNG,KAB. TULUNGAGUNG
3505,35.05,BLITAR,KAB. BLITAR
3506,35.06,KEDIRI,KAB. KEDIRI
3507,35.07,MALANG,KAB. MALANG
3508,35.08,LUMAJANG,KAB. LUMAJANG
3509,35.09,JEMBER,KAB. JEMBER
3510,35.1,BANYUWANGI,KAB. BANYUWANGI
3511,35.11,BONDOWOSO,KAB. BONDOWOSO
3512,35.12,SITUBONDO,KAB. SITUBONDO
3513,35.13,PROBOLINGGO,KAB. PROBOLINGGO
3514,35.14,PASURUAN,KAB. PASURUAN
3515,35.15,SIDOARJO,KAB. SIDOARJO
3516,35.16,MOJOKERTO,KAB. MOJOKERTO
3517,35.17,JOMBANG,KAB. JOMBANG
3518,35.18,NGANJUK,KAB. NGANJUK
3519,35.19,MADIUN,KAB. MADIUN
3520,35.2,MAGETAN,KAB. MAGETAN
3521,35.21,NGAWI,KAB. NGAWI
3522,35.22,BOJONEGORO,KAB. BOJONEGORO
3523,35.23,TUBAN,KAB. TUBAN
3524,35.24,LAMONGAN,KAB. LAMONGAN
3525,35.25,GRESIK,KAB. GRESIK
3526,35.26,BANGKALAN,KAB. BANGKALAN
3527,35.27,SAMPANG,KAB. SAMPANG
3528,35.28,PAMEKASAN,KAB. PAMEKASAN
3529,35.29,SUMENEP,KAB. SUMENEP
3571,35.71,KEDIRI,KOTA KEDIRI
3572,35.72,BLITAR,KOTA BLITAR
3573,35.73,MALANG,KOTA MALANG
3574,35.74,PROBOLINGGO,KOTA PROBOLINGGO
3575,35.75,PASURUAN,KOTA PASURUAN
3576,35.76,MOJOKERTO,KOTA MOJOKERTO
3577,35.77,MADIUN,KOTA MADIUN
3578,35.78,SURABAYA,KOTA SURABAYA
3579,35.79,BATU,KOTA BATU
3601,36.01,PANDEGLANG,KAB. PANDEGLANG
3602,36.02,LEBAK,KAB. LEBAK
3603,36.03,TANGERANG,KAB. TANGERANG
3604,36.04,SERANG,KAB. SERANG
3671,36.71,TANGERANG,KOTA TANGERANG
3672,36.72,CILEGON,KOTA CILEGON
3673,36.73,SERANG,KOTA SERANG
3674,36.74,TANGERANG SELATAN,KOTA TANGERANG SELATAN
5101,51.01,JEMBRANA,KAB. JEMBRANA
5102,51.02,TABANAN,KAB. TABANAN
5103,51.03,BADUNG,KAB. BADUNG
5104,51.04,GIANYAR,KAB. GIANYAR
5105,51.05,KLUNGKUNG,KAB. KLUNGKUNG
5106,51.06,BANGLI,KAB. BANGLI
5107,51.07,KARANG ASEM,KAB. KARANGASEM
5108,51.08,BULELENG,KAB. BULELENG
5171,51.71,DENPASAR,KOTA DENPASAR
5201,52.01,LOMBOK BARAT,KAB. LOMBOK BARAT
5202,52.02,LOMBOK TENGAH,KAB. LOMBOK TENGAH
5203,52.03,LOMBOK TIMUR,KAB. LOMBOK TIMUR
5204,52.04,SUMBAWA,KAB. SUMBAWA
5205,52.05,DOMPU,KAB. DOMPU
5206,52.06,BIMA,KAB. BIMA
5207,52.07,SUMBAWA BARAT,KAB. SUMBAWA BARAT
5208,52.08,LOMBOK UTARA,KAB. LOMBOK UTARA
5271,52.71,MATARAM,KOTA MATARAM
5272,52.72,BIMA,KOTA BIMA
5301,53.12,SUMBA BARAT,KAB. SUMBA BARAT
5302,53.11,SUMBA TIMUR,KAB. SUMBA TIMUR
5303,53.01,KUPANG,KAB. KUPANG
5304,53.02,TIMOR TENGAH SELATAN,KAB TIMOR TENGAH SELATAN
5305,53.03,TIMOR TENGAH UTARA,KAB. TIMOR TENGAH UTARA
5306,53.04,BELU,KAB. BELU
5307,53.05,ALOR,KAB. ALOR
5308,53.13,LEMBATA,KAB. LEMBATA
5309,53.06,FLORES TIMUR,KAB. FLORES TIMUR
5310,53.07,SIKKA,KAB. SIKKA
5311,53.08,ENDE,KAB. ENDE
5312,53.09,NGADA,KAB. NGADA
5313,53.1,MANGGARAI,KAB. MANGGARAI
5314,53.14,ROTE NDAO,KAB. ROTE NDAO
5315,53.15,MANGGARAI BARAT,KAB. MANGGARAI BARAT
5316,53.17,SUMBA TENGAH,KAB. SUMBA TENGAH
5317,53.18,SUMBA BARAT DAYA,KAB. SUMBA BARAT DAYA
5318,53.16,NAGEKEO,KAB. NAGEKEO
5319,53.19,MANGGARAI TIMUR,KAB. MANGGARAI TIMUR
5320,53.2,SABU RAIJUA,KAB. SABU RAIJUA
5321,53.21,MALAKA,KAB. MALAKA
5371,53.71,KUPANG,KOTA KUPANG
6101,61.01,SAMBAS,KAB. SAMBAS
6102,61.07,BENGKAYANG,KAB. BENGKAYANG
6103,61.08,LANDAK,KAB. LANDAK
6104,61.02,MEMPAWAH,KAB. MEMPAWAH
6105,61.03,SANGGAU,KAB. SANGGAU
6106,61.04,KETAPANG,KAB. KETAPANG
6107,61.05,SINTANG,KAB. SINTANG
6108,61.06,KAPUAS HULU,KAB. KAPUAS HULU
6109,61.09,SEKADAU,KAB. SEKADAU
6110,61.1,MELAWI,KAB. MELAWI
6111,61.11,KAYONG UTARA,KAB. KAYONG UTARA
6112,61.12,KUBU RAYA,KAB. KUBU RAYA
6171,61.71,PONTIANAK,KOTA PONTIANAK
6172,61.72,SINGKAWANG,KOTA SINGKAWANG
6201,62.01,KOTAWARINGIN BARAT,KAB. KOTAWARINGIN BARAT
6202,62.02,KOTAWARINGIN TIMUR,KAB. KOTAWARINGIN TIMUR
6203,62.03,KAPUAS,KAB. KAPUAS
6204,62.04,BARITO SELATAN,KAB. BARITO SELATAN
6205,62.05,BARITO UTARA,KAB. BARITO UTARA
6206,62.08,SUKAMARA,KAB. SUKAMARA
6207,62.09,LAMANDAU,KAB. LAMANDAU
6208,62.07,SERUYAN,KAB. SERUYAN
6209,62.06,KATINGAN,KAB. KATINGAN
6210,62.11,PULANG PISAU,KAB. PULANG PISAU
6211,62.1,GUNUNG MAS,KAB. GUNUNG MAS
6212,62.13,BARITO TIMUR,KAB. BARITO TIMUR
6213,62.12,MURUNG RAYA,KAB. MURUNG RAYA
6271,62.71,PALANGKA RAYA,KOTA PALANGKARAYA
6301,63.01,TANAH LAUT,KAB. TANAH LAUT
6302,63.02,KOTA BARU,KAB. KOTABARU
6303,63.03,BANJAR,KAB. BANJAR
6304,63.04,BARITO KUALA,KAB. BARITO KUALA
6305,63.05,TAPIN,KAB. TAPIN
6306,63.06,HULU SUNGAI SELATAN,KAB. HULU SUNGAI SELATAN
6307,63.07,HULU SUNGAI TENGAH,KAB. HULU SUNGAI TENGAH
6308,63.08,HULU SUNGAI UTARA,KAB. HULU SUNGAI UTARA
6309,63.09,TABALONG,KAB. TABALONG
6310,63.1,TANAH BUMBU,KAB. TANAH BUMBU
6311,63.11,BALANGAN,KAB. BALANGAN
6371,63.71,BANJARMASIN,KOTA BANJARMASIN
6372,63.72,BANJAR BARU,KOTA BANJARBARU
6401,64.01,PASER,KAB. PASER
6402,64.07,KUTAI BARAT,KAB. KUTAI BARAT
6403,64.02,KUTAI KARTANEGARA,KAB. KUTAI KARTANEGARA
6404,64.08,KUTAI TIMUR,KAB. KUTAI TIMUR
6405,64.03,BERAU,KAB. BERAU
6409,64.09,PENAJAM PASER UTARA,KAB. PENAJAM PASER UTARA
6411,64.11,MAHAKAM HULU,KAB. MAHAKAM ULU
6471,64.71,BALIKPAPAN,KOTA BALIKPAPAN
6472,64.72,SAMARINDA,KOTA SAMARINDA
6474,64.74,BONTANG,KOTA BONTANG
6501,65.02,MALINAU,KAB. MALINAU
6502,65.01,BULUNGAN,KAB. BULUNGAN
6503,65.04,TANA TIDUNG,KAB. TANA TIDUNG
6504,65.03,NUNUKAN,KAB. NUNUKAN
6571,65.71,TARAKAN,KOTA TARAKAN
7101,71.01,BOLAANG MONGONDOW,KAB. BOLAANG MONGONDOW
7102,71.02,MINAHASA,KAB. MINAHASA
7103,71.03,KEPULAUAN SANGIHE,KAB. KEPULAUAN SANGIHE
7104,71.04,KEPULAUAN TALAUD,KAB. KEPULAUAN TALAUD
7105,71.05,MINAHASA SELATAN,KAB. MINAHASA SELATAN
7106,71.06,MINAHASA UTARA,KAB. MINAHASA UTARA
7107,71.08,BOLAANG MONGONDOW UTARA,KAB. BOLAANG MONGONDOW UTARA
7108,71.09,SIAU TAGULANDANG BIARO,KAB. KEP. SIAU TAGULANDANG BIARO
7109,71.07,MINAHASA TENGGARA,KAB. MINAHASA TENGGARA
7110,71.11,BOLAANG MONGONDOW SELATAN,KAB. BOLAANG MONGONDOW SELATAN
7111,71.1,BOLAANG MONGONDOW TIMUR,KAB. BOLAANG MONGONDOW TIMUR
7171,71.71,MANADO,KOTA MANADO
7172,71.72,BITUNG,KOTA BITUNG
7173,71.73,TOMOHON,KOTA TOMOHON
7174,71.74,KOTAMOBAGU,KOTA KOTAMOBAGU
7201,72.07,BANGGAI KEPULAUAN,KAB. BANGGAI KEPULAUAN
7202,72.01,BANGGAI,KAB. BANGGAI
7203,72.06,MOROWALI,KAB. MOROWALI
7204,72.02,POSO,KAB. POSO
7205,72.03,DONGGALA,KAB. DONGGALA
7206,72.04,TOLI-TOLI,KAB. TOLI TOLI
7207,72.05,BUOL,KAB. BUOL
7208,72.08,PARIGI MOUTONG,KAB. PARIGI MOUTONG
7209,72.09,TOJO UNA-UNA,KAB. TOJO UNA UNA
7210,72.1,SIGI,KAB. SIGI
7211,72.11,BANGGAI LAUT,KAB. BANGGAI LAUT
7212,72.12,MOROWALI UTARA,KAB. MOROWALI UTARA
7271,72.71,PALU,KOTA PALU
7301,73.01,KEPULAUAN SELAYAR,KAB. KEPULAUAN SELAYAR
7302,73.02,BULUKUMBA,KAB. BULUKUMBA
7303,73.03,BANTAENG,KAB. BANTAENG
7304,73.04,JENEPONTO,KAB. JENEPONTO
7305,73.05,TAKALAR,KAB. TAKALAR
7306,73.06,GOWA,KAB. GOWA
7307,73.07,SINJAI,KAB. SINJAI
7308,73.09,MAROS,KAB. MAROS
7309,73.1,PANGKAJENE DAN KEPULAUAN,KAB. PANGKAJENE KEPULAUAN
7310,73.11,BARRU,KAB. BARRU
7311,73.08,BONE,KAB. BONE
7312,73.12,SOPPENG,KAB. SOPPENG
7313,73.13,WAJO,KAB. WAJO
7314,73.14,SIDENRENG RAPPANG,KAB. SIDENRENG RAPPANG
7315,73.15,PINRANG,KAB. PINRANG
7316,73.16,ENREKANG,KAB. ENREKANG
7317,73.17,LUWU,KAB. LUWU
7318,73.18,TANA TORAJA,KAB. TANA TORAJA
7322,73.22,LUWU UTARA,KAB. LUWU UTARA
7325,73.24,LUWU TIMUR,KAB. LUWU TIMUR
7326,73.26,TORAJA UTARA,KAB. TORAJA UTARA
7371,73.71,MAKASSAR,KOTA MAKASSAR
7372,73.72,PAREPARE,KOTA PARE PARE
7373,73.73,PALOPO,KOTA PALOPO
7401,74.04,BUTON,KAB. BUTON
7402,74.03,MUNA,KAB. MUNA
7403,74.02,KONAWE,KAB. KONAWE
7404,74.01,KOLAKA,KAB. KOLAKA
7405,74.05,KONAWE SELATAN,KAB. KONAWE SELATAN
7406,74.06,BOMBANA,KAB. BOMBANA
7407,74.07,WAKATOBI,KAB. WAKATOBI
7408,74.08,KOLAKA UTARA,KAB. KOLAKA UTARA
7409,74.1,BUTON UTARA,KAB. BUTON UTARA
7410,74.09,KONAWE UTARA,KAB. KONAWE UTARA
7411,74.11,KOLAKA TIMUR,KAB. KOLAKA TIMUR
7412,74.12,KONAWE KEPULAUAN,KAB. KONAWE KEPULAUAN
7413,74.13,MUNA BARAT,KAB. MUNA BARAT
7414,74.14,BUTON TENGAH,KAB. BUTON TENGAH
7415,74.15,BUTON SELATAN,KAB. BUTON SELATAN
7471,74.71,KENDARI,KOTA KENDARI
7472,74.72,BAUBAU,KOTA BAU BAU
7501,75.02,BOALEMO,KAB. BOALEMO
7502,75.01,GORONTALO,KAB. GORONTALO
7503,75.04,POHUWATO,KAB. PAHUWATO
7504,75.03,BONE BOLANGO,KAB. BONE BOLANGO
7505,75.05,GORONTALO UTARA,KAB. GORONTALO UTARA
7571,75.71,GORONTALO,KOTA GORONTALO
7601,76.05,MAJENE,KAB. MAJENE
7602,76.04,POLEWALI MANDAR,KAB. POLEWALI MANDAR
7603,76.03,MAMASA,KAB. MAMASA
7604,76.02,MAMUJU,KAB. MAMUJU
7605,76.01,MAMUJU UTARA,KAB. MAMUJU UTARA
7606,76.06,MAMUJU TENGAH,KAB. MAMUJU TENGAH
8101,81.03,MALUKU TENGGARA BARAT,KAB MALUKU TENGGARA BARAT
8102,81.02,MALUKU TENGGARA,KAB. MALUKU TENGGARA
8103,81.01,MALUKU TENGAH,KAB. MALUKU TENGAH
8104,81.04,BURU,KAB. BURU
8105,81.07,KEPULAUAN ARU,KAB. KEPULAUAN ARU
8106,81.06,SERAM BAGIAN BARAT,KAB. SERAM BAGIAN BARAT
8107,81.05,SERAM BAGIAN TIMUR,KAB. SERAM BAGIAN TIMUR
8108,81.08,MALUKU BARAT DAYA,KAB. MALUKU BARAT DAYA
8109,81.09,BURU SELATAN,KAB. BURU SELATAN
8171,81.71,AMBON,KOTA AMBON
8172,81.72,TUAL,KOTA TUAL
8201,82.01,HALMAHERA BARAT,KAB. HALMAHERA BARAT
8202,82.02,HALMAHERA TENGAH,KAB. HALMAHERA TENGAH
8203,82.05,KEPULAUAN SULA,KAB. KEPULAUAN SULA
8204,82.04,HALMAHERA SELATAN,KAB. HALMAHERA SELATAN
8205,82.03,HALMAHERA UTARA,KAB. HALMAHERA UTARA
8206,82.06,HALMAHERA TIMUR,KAB. HALMAHERA TIMUR
8207,82.07,PULAU MOROTAI,KAB. PULAU MOROTAI
8208,82.08,PULAU TALIABU,KAB. PULAU TALIABU
8271,82.71,TERNATE,KOTA TERNATE
8272,82.72,TIDORE KEPULAUAN,KOTA TIDORE KEPULAUAN
9101,92.03,FAKFAK,KAB. FAK FAK
9102,92.08,KAIMANA,KAB. KAIMANA
9103,92.07,TELUK WONDAMA,KAB. TELUK WONDAMA
9104,92.06,TELUK BINTUNI,KAB. TELUK BINTUNI
9105,92.02,MANOKWARI,KAB. MANOKWARI
9106,92.04,SORONG SELATAN,KAB. SORONG SELATAN
9107,92.01,SORONG,KAB. SORONG
9108,92.05,RAJA AMPAT,KAB. RAJA AMPAT
